id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2194,Condesa Open Loft | Private Roma Terrace,77407057,Luis Carlos,,CuauhtÈmoc,19.42187,-99.16495,Entire home/apt,2775,1,96,16/11/2022,1.35,9,338,38,
2195,Rento Habitaci√≥n en Casa remodelada,119965367,Al,,Benito Ju·rez,19.38826,-99.18506,Entire home/apt,4219,365,0,,,1,365,0,
2196,"Departamento en la CDMX , Cerca de Polanco",64821107,Ismael,,Azcapotzalco,19.46682,-99.18968,Entire home/apt,668,1,377,18/12/2022,5.43,3,282,41,
2197,DEPARTAMENTO  EN LAS √ÅGUILAS,119986184,Lucia,,¡lvaro ObregÛn,19.36036,-99.20209,Entire home/apt,650,4,20,11/12/2022,0.28,1,338,7,
2198,‚ö°Best Location in Mexico ! /1br Luxurious Apt 502‚ö°,27411678,Casa,,CuauhtÈmoc,19.42622,-99.16604,Entire home/apt,1181,1,263,26/12/2022,3.69,17,361,55,
2199,‚ö°Best Location in Mexico ! Two Bedroom Apt 501‚ö°,27411678,Casa,,CuauhtÈmoc,19.42622,-99.16604,Entire home/apt,1400,2,345,25/12/2022,4.84,17,342,80,
2200,Habitaci√≥n cerca de Coyoac·n,107839226,Liliana,,Coyoac·n,19.34699,-99.15066,Private room,207,3,28,09/12/2022,0.39,3,299,8,
2201,"Habitaci√≥n Privada, Ubicaci√≥n y Comodidad, M√©rida",15359500,Adrian,,CuauhtÈmoc,19.42777,-99.17341,Private room,700,1,88,18/12/2022,1.24,32,175,12,
2202,C√≥moda rec√°mara con TV + ba√±o,116587453,Lourdes,,¡lvaro ObregÛn,19.33648,-99.22287,Private room,786,1,3,30/10/2022,0.04,1,365,1,
2203,CASA EN COYOACAN,10100051,Martine,,Coyoac·n,19.34162,-99.17078,Private room,450,5,29,09/10/2022,0.41,3,55,1,
2204,Private House in Coyoac·n.,104697061,Kyra,,Coyoac·n,19.34804,-99.1712,Entire home/apt,970,1,91,16/12/2022,1.3,2,331,33,
2205,Ubicaci√≥n todos los gustos,115505462,Hvergelmir,,CuauhtÈmoc,19.40544,-99.15905,Entire home/apt,1033,2,5,06/06/2017,0.07,1,81,0,
2206,Nice room in charming beautiful house.,58784830,Fernando,,CuauhtÈmoc,19.40766,-99.17348,Private room,699,3,4,21/11/2019,0.1,2,65,0,
