id,neighbourhood,room_type,price,minimum_nights,minimum_price
854,Cuauhtémoc,Entire home/apt,957,1,957
855,Cuauhtémoc,Entire home/apt,768,1,768
856,Miguel Hidalgo,Private room,313,1,313
857,Cuauhtémoc,Private room,373,1,373
858,Cuauhtémoc,Entire home/apt,1200,3,3600
859,Miguel Hidalgo,Private room,194,2,388
860,Venustiano Carranza,Entire home/apt,599,4,2396
861,Miguel Hidalgo,Private room,390,3,1170
862,Cuauhtémoc,Entire home/apt,776,2,1552
863,Benito Juárez,Entire home/apt,447,3,1341
864,Cuauhtémoc,Entire home/apt,1467,1,1467
865,Cuauhtémoc,Private room,420,2,840
866,Coyoacán,Private room,750,2,1500
867,Cuauhtémoc,Entire home/apt,1400,5,7000
868,Cuauhtémoc,Entire home/apt,1747,2,3494
869,Tlalpan,Entire home/apt,1361,20,27220
870,Benito Juárez,Private room,500,5,2500
871,Cuauhtémoc,Entire home/apt,1177,2,2354
872,Cuauhtémoc,Entire home/apt,494,2,988
873,Cuauhtémoc,Entire home/apt,976,3,2928
874,Cuauhtémoc,Entire home/apt,2329,1,2329
875,Coyoacán,Private room,190,5,950
876,Cuauhtémoc,Private room,650,1,650
877,Cuauhtémoc,Entire home/apt,2736,1,2736
878,Cuauhtémoc,Entire home/apt,1037,3,3111
879,Miguel Hidalgo,Entire home/apt,1043,1,1043
880,Coyoacán,Private room,914,1,914
881,Cuauhtémoc,Entire home/apt,5822,7,40754
882,Álvaro Obregón,Entire home/apt,1471,5,7355
883,Miguel Hidalgo,Entire home/apt,4852,1,4852
884,Benito Juárez,Entire home/apt,778,2,1556
885,Cuauhtémoc,Entire home/apt,815,3,2445
886,Cuauhtémoc,Private room,590,1,590
887,Cuauhtémoc,Entire home/apt,1359,30,40770
888,Miguel Hidalgo,Entire home/apt,2329,7,16303
889,Miguel Hidalgo,Private room,700,1,700
890,Cuauhtémoc,Entire home/apt,1798,1,1798
891,Benito Juárez,Entire home/apt,850,5,4250
892,Cuauhtémoc,Private room,307,2,614
893,Cuauhtémoc,Entire home/apt,1719,3,5157
894,Xochimilco,Entire home/apt,300,4,1200
895,Cuauhtémoc,Entire home/apt,2343,4,9372
896,Miguel Hidalgo,Entire home/apt,3882,2,7764
897,Benito Juárez,Entire home/apt,900,2,1800
898,Cuauhtémoc,Entire home/apt,447,4,1788
899,Tlalpan,Private room,450,5,2250
900,Cuauhtémoc,Private room,331,5,1655
901,Miguel Hidalgo,Private room,1143,1,1143
902,Tlalpan,Entire home/apt,1810,1,1810
903,Cuauhtémoc,Entire home/apt,979,30,29370
904,Cuauhtémoc,Entire home/apt,1200,3,3600
905,Cuauhtémoc,Entire home/apt,654,1,654
906,Miguel Hidalgo,Entire home/apt,2168,2,4336
907,Benito Juárez,Entire home/apt,990,2,1980
908,Benito Juárez,Entire home/apt,900,2,1800
909,Benito Juárez,Entire home/apt,900,2,1800
910,Benito Juárez,Entire home/apt,900,2,1800
